     numlons   numlats   numlevs   totpts  slthin quad
      1280       640        60    533272
  lev          asig              bsig  
    1   0.039999999105930   0.000000000000000
    2   0.084102094173431   0.000000000000000
    3   0.150073796510696   0.000000000000000
    4   0.238823994994164   0.000000000000000
    5   0.352284997701645   0.000000000000000
    6   0.496140003204346   0.000000000000000
    7   0.679544985294342   0.000000000000000
    8   0.915915012359619   0.000000000000000
    9   1.224269032478333   0.000000000000000
   10   1.630650997161865   0.000000000000000
   11   2.169561862945557   0.000000000000000
   12   2.886375904083252   0.000000000000000
   13   3.840771913528442   0.000000000000000
   14   5.110651969909668   0.000000000000000
   15   6.797371864318848   0.000000000000000
   16   9.031671524047852   0.000000000000000
   17  11.976361274719238   0.000000000000000
   18  15.821961402893066   0.000000000000000
   19  20.776811599731445   0.000000000000000
   20  27.054580688476562   0.000000000000000
   21  34.857070922851562   0.000000000000000
   22  44.367839813232422   0.000000000000000
   23  55.769241333007812   0.000000000000000
   24  69.262138366699219   0.000000000000000
   25  85.067939758300781   0.000000000000000
   26 103.155242919921875   0.000225522671826
   27 122.893783569335937   0.001430561533198
   28 143.340377807617187   0.004631495103240
   29 163.214538574218750   0.011138770729303
   30 181.102020263671875   0.022352159023285
   31 195.761901855468750   0.039443600922823
   32 206.383316040039062   0.063092067837715
   33 212.671264648437500   0.093424431979656
   34 214.743957519531250   0.130121350288391
   35 212.968505859375000   0.172560095787048
   36 207.827148437500000   0.219936206936836
   37 199.852783203125000   0.271246075630188
   38 189.608978271484375   0.325306057929993
   39 177.644805908203125   0.380949169397354
   40 164.475219726562500   0.437061697244644
   41 150.580047607421875   0.492584913969040
   42 136.392883300781250   0.546566486358643
   43 122.304382324218750   0.598152637481689
   44 108.645263671875000   0.646651506423950
   45  95.654357910156250   0.691639542579651
   46  83.491394042968750   0.732904136180878
   47  72.247314453125000   0.770406305789948
   48  61.955993652343750   0.804244995117188
   49  52.610656738281250   0.834607005119324
   50  44.190124511718750   0.861688733100891
   51  36.675476074218750   0.885649979114532
   52  30.038146972656250   0.906660735607147
   53  24.235961914062500   0.924915671348572
   54  19.220947265625000   0.940612733364105
   55  14.935424804687500   0.953969061374664
   56  11.311584472656250   0.965222775936127
   57   8.284729003906250   0.974595069885254
   58   5.770874023437500   0.982360124588013
   59   3.635620117187500   0.988942503929138
   60   1.749267578125000   0.994747817516327
   61   0.039999999105930   1.000000000000000
 n-s index        latitude       lix  
    1      -89.785102844238281    36
    2      -89.506233215332031    36
    3      -89.225944519042969    36
    4      -88.945190429687500    36
    5      -88.664398193359375    36
    6      -88.383468627929688    36
    7      -88.102554321289062    48
    8      -87.821556091308594    48
    9      -87.540580749511719    54
   10      -87.259613037109375    64
   11      -86.978576660156250    72
   12      -86.697608947753906    80
   13      -86.416564941406250    80
   14      -86.135574340820312    96
   15      -85.854560852050781    96
   16      -85.573532104492188   100
   17      -85.292510986328125   108
   18      -85.011497497558594   120
   19      -84.730499267578125   120
   20      -84.449455261230469   128
   21      -84.168426513671875   144
   22      -83.887428283691406   144
   23      -83.606399536132812   144
   24      -83.325378417968750   150
   25      -83.044349670410156   160
   26      -82.763313293457031   162
   27      -82.482292175292969   180
   28      -82.201271057128906   180
   29      -81.920242309570312   192
   30      -81.639228820800781   192
   31      -81.358200073242188   200
   32      -81.077178955078125   216
   33      -80.796150207519531   216
   34      -80.515121459960938   216
   35      -80.234077453613281   240
   36      -79.953056335449219   240
   37      -79.672035217285156   240
   38      -79.390998840332031   240
   39      -79.109977722167969   250
   40      -78.828941345214844   250
   41      -78.547912597656250   256
   42      -78.266883850097656   270
   43      -77.985862731933594   270
   44      -77.704826354980469   288
   45      -77.423812866210938   288
   46      -77.142776489257812   288
   47      -76.861747741699219   300
   48      -76.580718994140625   300
   49      -76.299682617187500   320
   50      -76.018653869628906   320
   51      -75.737632751464844   320
   52      -75.456596374511719   324
   53      -75.175575256347656   360
   54      -74.894546508789062   360
   55      -74.613525390625000   360
   56      -74.332489013671875   360
   57      -74.051460266113281   360
   58      -73.770431518554688   360
   59      -73.489395141601562   384
   60      -73.208358764648438   384
   61      -72.927330017089844   384
   62      -72.646301269531250   384
   63      -72.365280151367188   400
